date,open,high,low,close,volume
1570075200000,8346.6800,8388.6500,8262.6700,8278.4100,8.16057200
1570089600000,8275.5600,8308.2900,8201.9400,8234.8500,3.58384100
1570104000000,8221.8800,8256.7100,8083.1100,8118.8100,7.78531300
1570118400000,8116.2600,8212.1700,8098.5000,8157.2300,14.49420000
1570132800000,8162.3900,8280.2800,8126.0400,8236.1700,14.30607800
1570147200000,8238.1000,8243.1300,8060.3000,8120.4300,13.87647100
1570161600000,8110.7500,8149.9400,8018.6700,8148.7000,18.28684900
1570176000000,8145.6400,8175.9200,8095.7700,8156.2500,3.94894700
1570190400000,8169.2600,8187.2700,8128.6600,8148.8700,7.71404300
1570204800000,8139.6600,8201.0000,8139.6600,8200.0000,11.51097700
1570219200000,8199.9900,8226.7300,8147.0400,8160.7600,7.45781200
1570233600000,8150.2400,8155.1300,8116.8000,8142.5800,10.68463900
1570248000000,8151.0300,8155.6900,8111.4000,8118.2000,2.90382200
1570262400000,8103.9900,8112.3000,8081.5500,8096.1500,3.51386500
1570276800000,8085.0000,8095.3500,8030.0000,8089.8700,4.52352600
1570291200000,8089.1500,8105.6700,8039.5400,8083.0600,3.32554000
1570305600000,8074.7500,8195.2500,8072.2800,8143.9400,4.55543100
1570320000000,8143.7100,8167.6800,8037.5800,8059.4800,4.82123300
1570334400000,8059.4800,8087.9600,7929.3000,7977.5400,11.73436200
1570348800000,7973.4900,7975.6900,7879.8200,7952.8500,7.37327200
1570363200000,7967.2600,8062.5900,7882.2900,8026.7000,22.20278600
1570377600000,8027.4800,8029.7000,7810.0000,7905.5100,19.19835800
1570392000000,7901.1300,7924.8600,7810.0000,7873.9000,11.71998600
1570406400000,7862.6000,7899.7500,7776.0000,7869.4300,19.91040700
1570420800000,7868.5400,7887.9000,7804.4600,7864.5800,4.40003500
1570435200000,7876.6300,8048.0000,7875.2700,7992.0000,9.00603300
1570449600000,7992.0100,8228.0000,7992.0100,8192.0300,28.85121000
1570464000000,8196.1100,8300.0000,8161.0100,8234.0100,15.06590500
1570478400000,8234.0100,8268.6200,8203.2500,8214.0100,16.55475400
1570492800000,8214.0100,8344.0300,8213.3100,8280.9000,25.56717300
1570507200000,8280.9000,8301.3700,8210.0600,8218.1900,10.11303100
1570521600000,8214.5700,8215.5800,8150.0100,8176.2000,7.40424000
1570536000000,8177.6900,8247.3000,8145.8600,8188.3900,10.29288600
1570550400000,8180.6900,8209.6900,8161.8500,8174.9600,7.68790900
1570564800000,8167.4800,8208.7800,8116.0000,8187.3900,9.85291000
1570579200000,8188.7600,8206.9400,8119.1100,8122.1100,10.45498800
1570593600000,8130.3900,8194.3300,8123.7200,8176.3600,7.98558800
1570608000000,8176.6600,8225.4000,8158.2200,8190.9200,3.12511200
1570622400000,8187.9500,8628.4300,8161.9200,8559.0000,38.52573900
1570636800000,8559.0000,8682.7700,8519.4100,8595.3900,18.30027400
1570651200000,8599.6800,8626.2000,8536.8800,8587.4100,11.94746500
1570665600000,8585.5300,8609.8600,8529.9600,8563.0100,14.68832100
1570680000000,8571.2100,8651.0000,8555.9800,8622.5500,4.59472400
1570694400000,8625.5700,8629.7200,8502.4000,8554.2000,23.49645000
1570708800000,8553.0100,8569.2400,8451.0200,8555.1300,15.17304000
1570723200000,8552.7600,8590.0000,8512.2000,8577.7900,4.18519000
1570737600000,8580.7200,8607.6800,8549.0900,8587.4500,10.26675500
1570752000000,8589.7600,8597.8800,8514.1100,8578.9200,6.05675300
1570766400000,8580.0000,8804.5700,8383.7000,8403.4200,37.11951000
1570780800000,8399.5300,8400.2700,8291.8200,8308.1000,9.39384000
1570795200000,8301.0000,8364.8400,8278.0000,8350.6900,22.19271300
1570809600000,8353.2500,8369.6500,8292.8400,8333.9200,6.49487800
1570824000000,8332.5000,8359.3900,8231.7000,8266.8500,6.49006500
1570838400000,8261.9600,8335.2500,8261.9600,8313.5200,4.88324200
1570852800000,8315.5300,8364.4600,8314.3400,8349.7300,4.22209000
1570867200000,8350.4300,8372.9800,8302.4900,8321.6800,4.04419200
1570881600000,8327.7400,8404.9400,8317.7200,8386.7300,5.40527100
1570896000000,8386.7300,8404.3900,8295.4600,8314.5400,4.95870400
1570910400000,8316.3700,8348.7200,8302.7800,8305.3000,3.91069500
1570924800000,8301.2900,8370.6100,8287.5400,8341.7700,3.99780300
1570939200000,8346.6000,8357.3100,8314.3300,8331.2600,5.61712900
1570953600000,8331.2600,8389.2000,8326.3800,8367.2000,3.38115600
1570968000000,8364.8000,8450.0000,8362.9100,8423.6500,8.90683600
1570982400000,8422.2400,8466.6800,8422.2400,8443.0100,6.37603300
